fuel_type,intensity_kgco2e_per_mwh,factors_version,source,notes
coal,910,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,"NEM-weighted average across black-coal-dominant regions (NSW1/QLD1); does not separately break out brown coal (VIC1)"
gas,490,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,OCGT/CCGT blended average
diesel,770,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,
distillate,770,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,Treated the same as diesel
hydro,5,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,Direct operational emissions only; excludes reservoir lifecycle estimates
wind,4,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,Direct operational emissions only; excludes manufacturing lifecycle estimates
solar_utility,5,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,Direct operational emissions only; excludes manufacturing lifecycle estimates
solar_rooftop,5,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,Direct operational emissions only; excludes manufacturing lifecycle estimates
biomass,0,nger-2025-q4,DCCEEW National Greenhouse Accounts Factors,Treated as carbon-neutral (biogenic) per NGER accounting convention
battery,0,nger-2025-q4,ecoLens methodology note,"Pass-through storage, not a primary generation source -- its emissions are attributed to whatever charged it upstream, which this single-factor-per-fuel model does not trace"
battery_discharge,0,nger-2025-q4,ecoLens methodology note,See battery
battery_charge,0,nger-2025-q4,ecoLens methodology note,See battery
pumped_hydro,0,nger-2025-q4,ecoLens methodology note,Same pass-through-storage treatment as battery
net_import,0,nger-2025-q4,ecoLens methodology note,"Interconnector flow, not a generation source -- its emissions belong to the exporting region, which this single-region factor table does not trace"
